date,time,secSince1970,decisionPoint,questionId,userAction,combinedReward,detailedReward,combinedAdvantage,detailedAdvantage,combinedSaliency,detailedSaliency,
tutorial.scr,9-19-2018,15:42:1:478,1537396921479,undefined,undefined,stepIntoDecisionPoint:1,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:1:480,1537396921480,1,undefined,showQuestion:1.1,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:1:486,1537396921486,1,1.1,region:waitScreen;target:enter-welcome-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:3:430,1537396923430,1,1.1,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:3:650,1537396923650,1,1.1,stepIntoDecisionPoint:1,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:9:559,1537396929559,1,1.1,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--CityFort;startMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:9:691,1537396929691,1,1.1,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--CityFort;endMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:9:692,1537396929692,1,1.1,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--FriendEnemy;startMouseOverSaliencyMap:Friend/Enemy,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:9:891,1537396929891,1,1.1,region:saliencyMap;target:saliencyMap--DP1-2_EnemyDestroyed--FriendEnemy;endMouseOverSaliencyMap:Friend/Enemy,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:12:781,1537396932781,1,1.1,userClick:1277_348;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q4.Friend Destroyed,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:13:742,1537396933742,1,1.1,userClick:242_647;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:24:828,1537396944828,1,1.1,showQuestion:1.2,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:24:831,1537396944831,1,1.2,userClick:290_701;region:QnA;target:button-save;answerQuestion:1.1_"somthingESCAPED-NEWLINE"_NA_(tutorial.scr,9-19-2018,15:42:12:781,1537396932781,1,1.1,userClick:1277_348;region:scaii-interface;target:rewardBar;selectedRewardBar:Attack Q4.Friend Destroyed,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:25:843,1537396945843,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:23,1537396946023,1,1.2,showEntityTooltip:friendly-Tank_lowerRightQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:123,1537396946123,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:350,1537396946350,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:660,1537396946660,1,1.2,userClick:388_135;region:gameArea;target:gameboard;clickEntity:friendly-Big Fort_upperLeftQuadrant_73_71,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:839,1537396946839,1,1.2,showEntityTooltip:friendly-Big Fort_upperLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:26:924,1537396946924,1,1.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:27:581,1537396947581,1,1.2,userClick:250_653;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:31:971,1537396951971,1,1.2,userClick:300_703;region:QnA;target:button-save;answerQuestion:1.2_"white"_NA_(tutorial.scr,9-19-2018,15:42:26:660,1537396946660,1,1.2,userClick:388_135;region:gameArea;target:gameboard;clickEntity:friendly-Big Fort_upperLeftQuadrant_73_71,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:31:991,1537396951991,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--HP;startMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:32:675,1537396952675,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--HP;endMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:33:806,1537396953806,1,1.2,userClick:430_340;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:863,1537396956863,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--Tank;startMouseOverSaliencyMap:Tank,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:890,1537396956890,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--Tank;endMouseOverSaliencyMap:Tank,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:890,1537396956890,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--Size;startMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:908,1537396956908,1,1.2,region:saliencyMap;target:saliencyMap--DP1-2_FriendDestroyed--Size;endMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:908,1537396956908,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--Size;startMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:923,1537396956923,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--Size;endMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:923,1537396956923,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--CityFort;startMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:36:928,1537396956928,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--CityFort;endMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:39:61,1537396959061,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--Size;startMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:39:69,1537396959069,1,1.2,region:saliencyMap;target:saliencyMap--DP1-4_FriendDestroyed--Size;endMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:50:537,1537396970537,1,1.2,showQuestion:75.0,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:50:540,1537396970540,1,75.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:50:773,1537396970773,1,75.0,stepIntoDecisionPoint:75,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:54:429,1537396974429,75,75.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:56:74,1537396976074,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--CityFort;startMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:56:107,1537396976107,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--CityFort;endMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:56:107,1537396976107,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--FriendEnemy;startMouseOverSaliencyMap:Friend/Enemy,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:56:943,1537396976943,75,75.0,userClick:1301_876;region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--FriendEnemy;clickSaliencyMap:Friend/Enemy_(friendly-Tank_upperRightQuadrant),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:56:966,1537396976966,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--FriendEnemy;endMouseOverSaliencyMap:Friend/Enemy,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:57:675,1537396977675,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--CityFort;startMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:42:57:758,1537396977758,75,75.0,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--CityFort;endMouseOverSaliencyMap:City/Fort,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:1:837,1537396981837,75,75.0,userClick:271_645;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:24:892,1537397004892,75,75.0,showQuestion:75.1,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:24:894,1537397004894,75,75.1,userClick:285_698;region:QnA;target:button-save;answerQuestion:75.0_"aESCAPED-COMMAb(cESCAPED-UNDERSCOREdESCAPED-SEMICOLONf.g"_NA_(tutorial.scr,9-19-2018,15:42:56:943,1537396976943,75,75.0,userClick:1301_876;region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--FriendEnemy;clickSaliencyMap:Friend/Enemy_(friendly-Tank_upperRightQuadrant),false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:27:391,1537397007391,75,75.1,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:27:590,1537397007590,75,75.1,showEntityTooltip:enemy-Big Fort_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:27:917,1537397007917,75,75.1,userClick:396_260;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_lowerLeftQuadrant_80_196,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:28:494,1537397008494,75,75.1,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:29:253,1537397009253,75,75.1,userClick:162_603;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:31:587,1537397011587,75,75.1,showQuestion:75.2,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:31:590,1537397011590,75,75.2,userClick:301_658;region:QnA;target:button-save;answerQuestion:75.1_"6554"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:33:41,1537397013041,75,75.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:33:358,1537397013358,75,75.2,showEntityTooltip:enemy-Big Fort_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:33:391,1537397013391,75,75.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:33:893,1537397013893,75,75.2,userClick:407_280;region:gameArea;target:gameboardBackground;clickGameQuadrant:lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:34:159,1537397014159,75,75.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:35:931,1537397015931,75,75.2,showEntityTooltip:enemy-Big Fort_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:35:957,1537397015957,75,75.2,hideEntityTooltips:all,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:36:91,1537397016091,75,75.2,showEntityTooltip:enemy-Big Fort_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:36:322,1537397016322,75,75.2,userClick:385_276;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_lowerLeftQuadrant_69_212,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:36:658,1537397016658,75,75.2,showEntityTooltip:enemy-Big Fort_lowerLeftQuadrant,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:37:309,1537397017309,75,75.2,userClick:207_662;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:40:974,1537397020974,75,75.2,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--HP;startMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:41:174,1537397021174,75,75.2,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--HP;endMouseOverSaliencyMap:HP,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:42:19,1537397022019,75,75.2,showQuestion:75.3,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:42:21,1537397022021,75,75.3,userClick:302_567;region:QnA;target:button-save;answerQuestion:75.2_"80000"_NA_(tutorial.scr,9-19-2018,15:43:36:322,1537397016322,75,75.2,userClick:385_276;region:gameArea;target:gameboard;clickEntity:enemy-Big Fort_lowerLeftQuadrant_69_212,false,false,false,false,false,false),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:42:509,1537397022509,75,75.3,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--Size;startMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:42:573,1537397022573,75,75.3,region:saliencyMap;target:saliencyMap--DP2-2_EnemyDestroyed--Size;endMouseOverSaliencyMap:Size,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:43:757,1537397023757,75,75.3,userClick:362_607;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:45:360,1537397025360,75,75.3,userClick:303_648;region:QnA;target:button-save;answerQuestion:75.3_"2"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:46:414,1537397026414,75,75.3,userClick:426_337;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:57:435,1537397037435,75,75.3,showQuestion:124.0,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:57:437,1537397037437,75,124.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:57:665,1537397037665,75,124.0,stepIntoDecisionPoint:124,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:43:59:309,1537397039309,124,124.0,region:waitScreen;target:user-wait-button-continue;waitForResearcherEnd:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:0:957,1537397040957,124,124.0,region:waitScreen;target:enter-wait-screen;waitForResearcherStart:yes,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:4:139,1537397044139,124,124.0,showQuestion:124.1,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:4:141,1537397044141,124,124.1,userClick:332_652;region:QnA;target:button-save;answerQuestion:124.0_"56657"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:5:455,1537397045455,124,124.1,userClick:278_588;region:QnA;NA;NA,false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:6:295,1537397046295,124,124.1,userClick:320_660;region:QnA;target:button-save;answerQuestion:124.1_"56"_NA_(NA),false,false,false,false,false,false
tutorial.scr,9-19-2018,15:44:7:501,1537397047501,124,124.1,userClick:428_338;region:gameArea;target:pauseResumeButton;play:NA,false,false,false,false,false,false
